date_published;package;version vivid amd64;DownloadCount vivid amd64
28.02.2015;python-xlrd;0.9.3;1
12.03.2015;python-folium;0.1.2;0
01.03.2015;python-mpltools;0.2.0;0
21.03.2015;python-pvlib;0.3.0;0
19.03.2015;python-scikits.statsmodels;0.7.0;0
13.03.2015;python-seaborn;0.6.0;0
22.03.2015;python-spyderlib;2.4.0;0
19.03.2015;python-statsmodels;0.7.0;0
19.03.2015;python-statsmodels-doc;0.7.0;0
19.03.2015;python-statsmodels-lib;0.7.0;0
13.03.2015;python3-seaborn;0.6.0;0
28.02.2015;python3-xlrd;0.9.3;0
22.03.2015;spyder;2.4.0;0
